Tempo	1A	2A	3A	4A	5A	6A	7A	8A	9A	10A	11A	12A
1741		0.597										
1742		0.8										
1743		1.55										
1744		1.21733										
1745		1.414										
1746		1.40433										
1747		1.55933										
1748		1.577										
1749		1.68067										
1750		1.71467										
1751		1.893										
1752		1.851										
1753		1.473										
1754		2.21233										
1755		1.94133										
1756		2.15433										
1757	0.761	2.355										
1758	1.0165	2.17967										
1759	1.0255	2.318										
1760	1.2515	2.12										
1761	0.9225	1.652										
1762	1.396	0.89833										
1763	1.428	1.42933										
1764	1.561	1.74367										
1765	1.75	2.40267										
1766	1.89	2.28967										
1767	1.541	2.56067										
1768	1.514	2.66167										
1769	2.356	3.33867										
1770	2.1225	1.96133										
1771	1.7835	2.45										
1772	1.646	2.41										
1773	1.8765	3.02967										
1774	2.264	3.61167										
1775	2.6525	3.48667										
1776	2.1205	3.36033										
1777	2.933	3.391		0.51267								
1778	2.43	3.48333		0.49								
1779	3.1415	4.38		0.43833								
1780	3.6415	3.50033		0.589								
1781	4.6475	3.46367		0.63467								
1782	1.2985	3.549		0.851								
1783	0.467	3.102		0.87267								
1784	1.555	2.81667		0.85167								
1785	2.879	3.039		0.919								
1786	3.306	3.104		0.83767								
1787	4.7885	3.436		0.81								
1788	3.879	3.938		0.91433								
1789	4.196	4.04833		0.86833								
1790	6.073	3.283		0.84167								
1791	5.948	3.003		1.05033								
1792	5.018	2.99333		0.867								
1793	4.1355	3.00333		0.931								
1794	4.6075	3.51067		0.73233								
1795	5.1975	3.91633		0.482								
1796	4.1265	5.359		0.16867								
1797	4.336	4.84533		0.32333								
1798	3.6315	3.31867		0.228								
1799	4.1845	2.116		0.274								
1800	4.7975	2.544		0.26233								
1801	6.4755	2.41967		0.30367								
1802	6.253	1.689		0.30767								
1803	5.3745	1.494		0.45833								
1804	4.3595	2.10033		0.61267								
1805	3.336	2.57767		0.45267								
1806	2.2315	1.908		1.266								
1807	1.474	2.383		1.143								
1808	1.634	3.48767		0.71667								
1809	1.9785	4.27233		0.75833								
1810	2.1715	3.16867		0.85533								
1811	1.883	2.40667		0.661								
1812	2.1355	2.71167		0.35933								
1813	2.4415	2.66367		0.49567								
1814	2.9615	3.12033		0.63033								
1815	3.5205	3.417		0.362								
1816	2.8335	3.648		0.42867								
1817	2.4345	3.42333		0.47833								
1818	2.261	2.91467		0.61633								
1819	2.6335	2.79333		0.29867								
1820	3.2915	3.02367		0.386								
1821	3.853	3.11167		0.49833								
1822	4.1585	2.527		0.42067								
1823	4.1125	2.06633		0.74								
1824	4.1775	1.729		1.03633								
1825	3.559	2.09633		0.65133								
1826	2.696	1.31033		0.53567								
1827	1.2	1.35633		0.68733								
1828	0.8445	2.43367		0.76								
1829	0.493	4.602		0.42767								
